Name,About Ecosystem,Apply Now,Contact,Created,Description,Discord,Ecosystem,Execution Layer,Grant Amount,Status,This grant is for,Twitter:,Website
Chainlink,"Chainlink is known as a decentralized oracle network or blockchain abstraction layer. Chainlink uses blockchain technology to securely enable computations on and off the blockchain, supporting what it calls hybrid smart contracts.3 Enterprises that use Chainlink can access any of the major blockchain networks, including Ethereum, Solana, and Terra.",https://chainlinkgrants.typeform.com/to/efEbsq?typeform-source=chain.link,,"June 10, 2022 1:46 PM","Chainlink grant program
The Chainlink grant program deploys substantial resources toward the creation of critical developer tooling, the addition of high-quality data, and the launching of key services around the Chainlink Network.

Integration grants
Integration grants encourage projects and teams from all over the world to provide specific technical work and services for advancing the Chainlink Network. 

Research program
Research grants fund researchers and academics who conduct and publish innovative research that advances the development of the Chainlink Network. ",,Chainlink,EVM,,Ongoing,"Academics, Dapps, Devs, Researchers, Universal Tools",,https://chain.link/community/grants
Coinbase Developer Grants,NA,https://docs.google.com/forms/d/e/1FAIpQLSf8jHW0S9W7S-j0wHnebYb5V1g36kQLkHwre44WoDQQn3X9lQ/viewform,,"June 10, 2022 1:46 PM","We have officially opened https://forms.gle/Z927YZhENNRrpH3j6 for our 2022 developer grants focused on blockchain developers who contribute directly to a blockchain codebase or researchers producing white papers addressing one or more of the following themes:

1. Scalability and interoperability of blockchains: Scalability is a huge barrier to adoption. Current development varies between layer 2 protocols, and has different consensus mechanisms and layer 1 structures. While much of this work has high monetary value, we are specifically looking to fund novel approaches and applications which are not so easily monetized (for example: rollups that originate in math/graph theories).

2. Privacy, Identity, and Zero Knowledge research: Financial privacy is a critical and necessary development for a widespread, safe adoption of crypto. In a world where personal privacy is increasingly at risk, we recognize that the public and permanent broadcasting of transaction history can be concerning. We are open to any applications related to this area, but we are particularly interested in development related to composable privacy — privacy preservation which can be combined with smart contract ecosystems. For example, this may lend itself to academic zero knowledge research.

3. Protocol security, audit research, developer experience, and other foundational infrastructure: The crypto-economy should be safe for all users, and this is only possible when the protocols themselves are verifiably safe. This could take the form of a better developer experience, so that common bugs are easier to avoid, better audit tooling, or even work like Solidify, our static analysis tool. To this end, we’re looking for projects which improve the foundational security of contracts, prevent exploits, and otherwise do the needful, inglorious, sometimes non-monetizable work.

4. Environmental footprint: For the crypto-economy to have a place in the mainstream, it must be sustainable. While there is https://blog.coinbase.com/fact-check-is-bitcoin-mining-environmentally-unfriendly-3559823af6f1, there’s no debate that mining is energy-intensive. We’re excited to see applications with innovative solutions to address this generational challenge.

5. Wild card: If you are working on a foundational improvement and are finding it hard to get funding, we want to hear from you!

Eligibility and Preferences

• We welcome applications across any blockchain.
• We are open to submissions for any time frame, although our default is year-long grants.
• Our primary focus is to fund initiatives that maximize community benefit (and that is typically harder to monetize) and/or research that advances the industry.
• We seek diversity in applicants and projects.
• Some examples of previous recipients can be found https://blog.coinbase.com/announcing-our-second-developer-grant-winners-ffd3f6e93860.
",,All,NA,,Ongoing,"Code Audits, Community Building/Content Creation, Dapps, Devs, Events/Hackathons, Infrastructure, NFTs, Public Goods, Researchers, UI/UX, Universal Tools",,https://blog.coinbase.com/2022-developer-grants-call-for-applications-461ca9903122
Connext,Connext is an Ethereum based interoperable platform that connects Ethereum Virtual Machine (EVM) compatible chains and layer 2 solutions. Connext achieves its function without the use of a new external validator.,https://docs.google.com/forms/d/e/1FAIpQLSfDgkvKuBSaNOrmFYjQOYoLZPGtDGNHZKbVmZz1OvnbQKYjVA/viewform,,"June 10, 2022 1:46 PM","Mission
At Connext, we believe that grants are one of the best ways to drive community ownership and action around public goods. Our goals with this program are to:
1. Foster the development of the Connext ecosystem through targeted resource allocation.
2. Give independent projects and working groups ownership of key parts of Connext.
3. Provide teams with ongoing support as they continue to build with Connext.

What We Look For
The best projects and teams:
• Meaningfully improve Connext in some way.
• Are passionate about our technology and community.
• Have a proven track record of producing high-quality outputs.
• Embody Connext's values and ethos more broadly.
• Have a path to long-term financial sustainability.",,Connext,EVM,,Ongoing,"Academics, Community Building/Content Creation, Dapps, Devs, Infrastructure, Researchers, Universal Tools",,https://grants.connext.network/
ConsenSys,"Ethereum is a decentralized blockchain platform that establishes a peer-to-peer network that securely executes and verifies application code, called smart contracts. Smart contracts allow participants to transact with each other without a trusted central authority.",https://consensysgrants.submittable.com/submit,,"June 10, 2022 1:46 PM","ConsenSys Grants funds blockchain technology projects that meet the needs of a rapidly-accelerating Ethereum ecosystem. Some key areas include core infrastructure, social impact, improved developer tooling, UX, security, and access to education.

 We are equally focused on funding core components and technology that will enable far-reaching community-building projects in the blockchain space. We strive to understand the core needs of the ecosystem and look for great projects who respond to those fundamental needs by enabling others to build on their developments.",,Ethereum,EVM,,Closed,"Academics, DAOs, Dapps, Devs, Infrastructure, Public Goods, Researchers, Universal Tools",,https://consensys.net/grants/
Curve Grants,"Curve is DeFi's leading AMM (Automated Market Maker).  Hundreds of liquidity pools have been launched through Curve's factory and incentivized by Curve's DAO.  Users rely on Curve's proprietary formulas to provide high liquidity, low slippage, low fee transactions among ERC-20 tokens.",https://form.typeform.com/to/zRwr8KqD?typeform-source=news.curve.fi,https://t.me/curve_grants,"June 10, 2022 1:46 PM","Ecosystem Grants
Ecosystem grants aim at encouraging and developing the Curve, Vyper language and more generally the DeFi ecosystem. They are for individuals, teams of all sizes looking to develop tools, projects that could benefit from grants.
The following criteria are considered:
• How it relates to Curve and the Curve DAO
• How it may benefit and impact the Curve and the Curve community
• State of the project (is it some gibberish on a napkin or already in production)
• The team and how likely they are to deliver
• Potential (viability, longevity, competition and so on)
• How the funds will be used and why they are needed

These grants are quite flexible in how they are awarded with demonstrating benefit to the Curve system being most important. Existing and completed projects are also eligible particularly if they can demonstrate benefit to the ecosystem.
A council of team and community members will be formed to assign those grants which may involve milestone based repeat payments depending on the scope of the project.

Projects will have the opportunity to present their project on Curve Discord if they wish.

Community Grants
Community grants aims at encouraging and developing the Curve community and Curve itself. Those grants will be received by users, content creators and projects supporting Curve.
Those users may have helped create proposals that shaped Curve and its DAO, helped out users, contributed in a meaningful way to the community, created content, educational or otherwise, about Curve and/or benefited the Curve ecosystem.
Grants range from $100 to $2,000 to be paid in CRV.
A list of recipients will be circulated publicly before they are awarded. If you would like to suggest a recipient, please message @charlie_eth on Telegram/Discord.

Proposal Grants
Proposal grants will reward users who create successful (non parameter) proposals (CIPs). Those users will be rewarded by $500 in 3CRV after the proposal is implemented.
To be eligible:
• CIP must be implemented
• CIP must meet standard requirements (governance topic, feasibility, viability)
• CIP must not be a parameter vote
• Signal votes are excluded
• Must not be a Curve team member",https://discord.com/invite/9uEHakc,Curve,EVM,1k - 150k,Ongoing,"Community Building/Content Creation, Dapps, Devs, Infrastructure, Researchers, Universal Tools",https://twitter.com/CurveFinance,curve.fi
Cronos Ecosystem Grants,"Cronos is the first Cosmos EVM chain for DeFi, NFTs, and metaverse that aims to massively scale the DeFi and decentralized application ecosystem.Cronos can massively scale the DeFi and decentralized application ecosystem by providing developers with the ability to instantly port apps from Ethereum and EVM-compatible chains. With low cost, high throughput, fast finality, and built-in interoperability, Cronos is poised to bring decentralized applications to the 10 million user base of the Crypto.com ecosystem and beyond.

EVM Compatible 
Built on Ethermint, which supports rapid porting of apps & smart contracts from Ethereum and other EVM-compatible chains.

Scalable
Scalable Cronos can process more transactions per minute than Ethereum, making it faster, cheaper, and greener to execute smart contracts.

Interoperable
Interoperable The Inter Blockchain Communications (IBC) protocol enables interoperability and bridging to the Crypto.org Chain, and other IBC-enabled chains, such as Cosmos Hub.

Proof of Authority (POA)
Proof of Authority (POA) A more streamlined and scalable consensus mechanism consensus protocol while still maintaining security with a range of validators that many different parties run.",https://airtable.com/shrcC9kREciOLQULE,,"June 10, 2022 1:46 PM","Program Benefits/Milestone Incentives
Grants will be awarded in tranches to project recipients based on the completion of certain pre-agreed-upon milestones.

Technical Support
Grants recipients can expect to receive technical support and assistance from core developers that are supporting Cronos.

Marketing Support
Projects may receive additional marketing support across different social media channels to boost their Cronos project.

VC Introductions
Projects may be connected with our Venture Capital partners that could potentially support future fundraising rounds.

Eligibility
Projects must be building an application on the Cronos blockchain and fall within the following categories.
DeFiAMM/DEX, Lending, Structured Finance, Yield Aggregators, Derivatives, Liquid staking etc.

NFT
NFTs, NFT Marketplaces, Inter-NFT applications, etc.

Gaming & Metaverse
Metaverse, Play-To-Earn Game, Play-And-Earn Game, etc.

Tools & Analytics
DeFi protocols tools, Charting solutions, Dashboards, Analytics, developer tools, etc.

Critical Infrastructure Projects
Oracles, etc.

Social Goods and Community Engagement Projects
Community forums, governance toolings, DAO projects, Educational youtube videos, dedicated medium articles, etc.

Other Web 3.0 Applications
Decentralized storage, decentralized social media, decentralized IP management etc.",,Cronos,"Cosmoms/Tendermint, EVM",NA,Ongoing,"Community Building/Content Creation, DAOs, Dapps, Devs, Events/Hackathons, Infrastructure, Public Goods, Researchers, Universal Tools",,https://cronos.org/grants
Crust Grants Program,"Crust provides a Web3.0 decentralized storage network for the Metaverse. It is designed to realize core values of decentralization,
privacy and assurance. Crust supports multiple storage-layer protocols such as IPFS, and exposes instant accessible on-chain storage
functions to users. Crustʼs technical stack is also capable of supporting data manipulating and computing.",https://github.com/crustio/Crust-Grants-Program/blob/main/applications/application_template.md,,"June 10, 2022 1:46 PM","The Crust Grants Program, launched by the Decentralized Cloud Foundation (DCF), rewards projects that add value to the Web 3.0 decentralized cloud storage ecosystem. Grants divide the decentralized cloud storage ecosystem into technology stacks at six layers, including chain protocol layer, file systems protocol layer, node strategies layer, development tools, and infrastructure layer, blockchain-based applications layer, and user-based applications layer, incentivizing projects in the decentralized cloud storage ecosystem at full strength.",,Crust,EVM,,ongoing,"Academics, Dapps, Devs, Infrastructure, NFTs, Universal Tools",,https://medium.com/crustnetwork/crust-grants-handbook-a1369c766ab3
DeFi Education Fund,The DeFi Education Fund educates policymakers around the world about DeFi and advocates for policies welcoming of DeFi and decentralized governance.,https://www.defieducationfund.org/apply,,"June 10, 2022 1:46 PM","The DeFi Education Fund's (DEF) mission is to educate policymakers about the benefits of decentralized finance and to achieve regulatory clarity for the DeFi ecosystem. The DEF is nonpartisan and global in approach and orientation. To accomplish its multi-pronged mission, the DEF focuses on research and advocacy efforts in the following areas:

Policymaker education
We need to directly educate legislative and regulatory policymakers about the benefits of DeFi and decentralized governance.

Thought leadership and research
We need to more effectively explain the existing and potential benefits and uses of DeFi.

Grassroots advocacy
We need to make it easy for DeFi community members to voice their opinions in the policymaking process.

Messaging
We need to better formulate ideas, prepare spokespeople, and communicate to policymakers and the general public the benefits and promise of DeFi.

Legal firepower
We need to develop a strong bench of legal advocates in multiple jurisdictions and venues.

Best practices
We need to develop models for all DeFi projects to benefit from collectively.",,Defi Education Fund,NA,,Ongoing,"Academics, Community Building/Content Creation, Events/Hackathons, Public Goods, Researchers",,https://www.defieducationfund.org/
Down The Rabbit Hole,Na,https://tzconnect.typeform.com/to/DE7TcIgf,,"June 10, 2022 1:46 PM","Down The Rabbit Hole is a grant program supporting ideas and projects that are exploring decentralized technology. It is part of despace programme - a space in the Berlin orbit that provides an invitation and pathway for involvement in Web3, and is created and curated by TZ Connect Team.

The program supports what can be evolved within the Web3 ecosystem, it is offered to all the curious people to make their ideas happen and is open for the application all year long. We are excited to start the conversation if you are new to blockchain technology, an expert, or anywhere in between, regardless of your profession. We will find the right starting point and take it from there.",,All,"All, EVM",,Ongoing,"Academics, Community Building/Content Creation, DAOs, Dapps, Devs, Events/Hackathons, Incubators/Accelerators, Infrastructure, NFTs, Public Goods, Researchers, Universal Tools",,https://tz-connect.notion.site/Down-The-Rabbit-Hole-f1238684f96a441aa963064072148ae6
DYDX,"dYdX (DYDX) is a decentralized exchange platform for cryptocurrency margin trading for assets like BTC, ETH, SOL, DOT, and more. The bulk of dYdX crypto margin trading products reside atop the Ethereum blockchain. However, the exchange recently rolled out on Layer 2 for instantly settled, inexpensive trades.",https://dydxgrants.com/application-form,,"June 10, 2022 1:46 PM","While we hope to see applications submitted with https://dydxgrants.com/request-for-proposals-list RFPs in mind, we are open to any projects or ideas that benefit the dYdX protocol and community. All applications will be considered and reviewed thoroughly by the Grants team to assess their potential value add to the community. Final reviews will be conducted by the Grants committee before moving forward with initial funding.",,"DYDX, Starkware",All,,Ongoing,"Community Building/Content Creation, Dapps, Devs, Public Goods, Researchers, Universal Tools",,https://dydxgrants.com/
Ethereum Foundation - Ecosystem Support Program,"Ethereum is a decentralized blockchain platform that establishes a peer-to-peer network that securely executes and verifies application code, called smart contracts. Smart contracts allow participants to transact with each other without a trusted central authority.",https://esp.ethereum.foundation/applicants/small-grants/apply,,"June 10, 2022 1:46 PM","Our Scope
ESP focuses on strengthening Ethereum's foundations and enabling future builders: improving infrastructure, expanding the range of tools available to those building on Ethereum, deepening our understanding of cryptographic primitives, and growing the builder ecosystem through education and community development. The work we support is open source, non-commercial and built for positive sum outcomes.
ESP support is generally directed toward enabling builders rather than end-users: strengthening Ethereum's infrastructure, expanding the range of tools available to those building on Ethereum, gaining a deeper understanding of cryptographic primitives, and growing the builder ecosystem through education and community development.

Supporting Builders
ESP funding is generally directed toward supporting builders rather than directly impacting end users. We don't often fund dapps or front-end platforms, although this is not a hard rule and there are exceptions - for example, where an application serves as a research or educational tool, or a reference implementation of a new standard.

Our grantees come from all over the world and represent many different backgrounds, disciplines and levels of experience. We have supported individuals and teams of all kinds - companies, DAOs, nonprofits, institutions, academics, developers, educators, community organizers and more.
Our https://blog.ethereum.org/category/ecosystem-support-program/ also features monthly roundups which showcase grantees' progress after their grants are awarded and go into more detail about their background and work.",,Ethereum,EVM,"<$30,000",Ongoing,"Academics, Community Building/Content Creation, DAOs, Dapps, Devs, Infrastructure, NFTs, Public Goods, Researchers, UI/UX, Universal Tools",,https://esp.ethereum.foundation/about
Ethereum Foundation - MetaCartel,"Ethereum is a decentralized blockchain platform that establishes a peer-to-peer network that securely executes and verifies application code, called smart contracts. Smart contracts allow participants to transact with each other without a trusted central authority.",https://discord.com/invite/P6HvQwJxGb,,"June 10, 2022 1:46 PM","What is MetaCartel DAO?
• Non-profit grants fund focused on creation and impact
• Funded mostly by individuals in the community

What do we fund?
• DApps built on Ethereum
• New consumer facing use-case experiments
• Creation of new DAOs
• Cryptonative experiments
• Projects with longevity
• Community oriented initiatives

What do we not fund?
• We don’t typically fund developer tooling or infrastructure
• We don’t typically fund anything that isn’t user facing

Apply for a grant

1. Join us on Discord
Head to the https://discord.gg/P6HvQwJxGbhttps://discord.gg/P6HvQwJxGb, and select ""Start your grant request""
This will create a private discord channel with some initial screening questions. Please fill these out as the first step, which will allow us to provide quick feedback in regards to whether the project would be in the scope of funding.

2. Connect with your MetaGuide and make your pitch
A personal MetaGuide will claim your ticket and request a brief video call within a few days to discuss further. Those requesting funds are asked to create a short pitch video (~2 minutes), providing a high level overview for the MetaCartel community to review.

3. Create a detailed forum proposal
If your pitch received a thumbs up from the community, it's time for a more detailed forum proposal on the https://forum.metacartel.org/tag/in-progress. This will then be reviewed in more detail, and feedback will be provided within the forum.https://forum.metacartel.org/t/proposal-metokens-the-defi-fair-launch-of-personal-tokens/956

4. Present at a MetaCartel Town Hall
If forum consensus is to proceed, you will be invited to a MetaCartel Town Hall meeting. This is an opportunity to give your final pitch, and to officially introduce yourself to the community. If the meeting goes well, your case will be handed over to a MetaCartel DAO member to be championed in and create the official grant proposal in the DAO.

5. Create a proposal for funding through DAOHaus platform
If you get a strong yes signal from us, we’ll likely provide feedback and also have additional feedback for the project before we commit to a grant.

6. Receiving funding 🎉",,Ethereum,EVM,,Ongoing,"Academics, Community Building/Content Creation, DAOs, Events/Hackathons, Public Goods, Researchers",,https://www.metacartel.org/grants/
Ethereum Foundation - Moloch DAO,"Ethereum is a decentralized blockchain platform that establishes a peer-to-peer network that securely executes and verifies application code, called smart contracts. Smart contracts allow participants to transact with each other without a trusted central authority.",,,"June 10, 2022 1:46 PM","Who We Fund
-Individuals and projects dedicated to the advancement of the Ethereum blockchain
-Initiatives to improve Ethereum infrastructure
-Culture building projects that iterate upon the lore of a global scale, cryptographically secured, parallel computational network as the digital public good that will facilitate the preservation of physical public goods.

Who We Don't Fund
-Shitcoins
-Degens",,Ethereum,,,Ongoing,"Academics, Community Building/Content Creation, DAOs, Dapps, Devs, Infrastructure, Public Goods, Researchers, Universal Tools",,https://molochdao.com/project-grants
Fantom,"Fantom is a high-performance, scalable, EVM-compatible, and secure smart-contract platform.

Fantom’s mainnet deployment—Fantom Opera—is built on Fantom’s consensus mechanism, https://www.fantom.foundation/lachesis-consensus-algorithm/. Fantom is a leaderless, asynchronous, and byzantine fault-tolerant Layer 1 blockchain protocol.

Lachesis enables Fantom to deliver fast transaction speeds, low transaction costs, and deterministic finality. This is achieved while remaining permissionless, decentralized, and open-source.",Upcoming,,"June 10, 2022 1:46 PM","We are beyond excited to announce a new 335m FTM Incentive Program in partnership with https://gitcoin.co/grants/ Gitcoin has an unprecedented track record of funding projects in the web3 space and will allow ALL Fantom projects, big or small, from seed to established projects, to apply for matched incentive rewards using their Quadratic Funding mechanism. Fantom’s users decide on the allocations, with greater FTM matching rewards going to the projects that are most loved and supported by their users.

Specifically, our objectives are the following:
• Better support a wider variety of project types. Regardless of whether it’s a DeFi protocol, a games application, an NFT platform, education, critical infrastructure, or whatever it might be, projects should be treated equally and consistently.

• Empower the Fantom community in the allocation process. The Fantom Foundation strongly believes in the collective wisdom of Fantom’s users to help reward the best deserving projects. This decentralizes decision-making and encourages projects to better serve their users.

• Support smaller teams that are just getting started building on Fantom. Not every project needs to have huge TVL or usage numbers. Achieving product-market success takes time. We want the incentive program accessible to builders targeting smaller and more niche audiences. And allow them space for trial and error.",,Fantom,EVM,,"Gitcoin Grant 14, Upcoming","Academics, Community Building/Content Creation, Dapps, Devs, Events/Hackathons, NFTs, Researchers, Universal Tools",,https://fantom.foundation/blog/new-335m-ftm-incentive-program-with-gitcoin-grants/
Filecoin,"The Filecoin network is a decentralized data storage marketplace. Users can store and retrieve their data on the network. The storage space is provided by storage provided on the network. Traditionally, online storage providers and protocols save data on centralized servers using IP addresses.",https://github.com/filecoin-project/devgrants/issues/new?assignees=SeedingTrees&labels=&template=microgrant.md&title=Next+Step+Microgrant%3A+%3CYour+Title+Here%3E,,"June 10, 2022 1:46 PM","To date, the Filecoin project has focused primarily on research, specification and implementation of a decentralized storage network protocol. Throughout this process we have been fortunate to work with incredible community members and contributors. Some are already building tools on the budding network in active development.

We’re looking to fund talented and eager teams that want to work with us to build a more robust, efficient, and decentralized web.

We created the Filecoin Dev Grants program to:
• Reward ongoing & existing contributions that add great value to the Filecoin ecosystem
• Inspire more contributors to solve open problems and engage with the Filecoin project
• Seed the creation of new products, businesses and tools to increase the utility of Filecoin",,Filecoin,FVM,,Ongoing,"Community Building/Content Creation, Devs, Infrastructure, Researchers, Universal Tools",,https://grants.filecoin.io/
FTX Future Fund,,,,"June 10, 2022 1:46 PM","If you’re excited by the prospect of working to safeguard humanity’s long-term future, we’d love to hear from you—even if you don’t yet have a well developed project proposal. You can submit an expression of interest https://docs.google.com/forms/d/e/1FAIpQLSduO_hQl6GZCeOBDhA0jcAbI0JLeuVw6Fkq8nNKqs9-mTyLqA/viewform. We won’t be able to respond to every submission, but we’ll keep you in mind as we start to fund and launch projects.

What do you look for in an application?
The ideal application would:
• Have a great team
• Focus on a key problem facing the long-term future, such as the problems discussed on our https://ftxfuturefund.org/area-of-interest/ page and https://ftxfuturefund.org/projects/ page
• Have a sensible and specific plan for how to tackle that problem and achieve the desired impact
• Have a plan for how the project could massively scale given additional funding",,All,,,Paused,"Academics, Devs, Public Goods, Researchers",,https://ftxfuturefund.org/apply/
Gitcoin,,https://gitcoin.co/grants/,,"June 10, 2022 1:46 PM",Discover and Fund Extraordinary Public Goods,,"Chainlink, DYDX, Ethereum, Filecoin, Offchain Labs",,,Paused,Public Goods,,https://gitcoin.co/grants/
The Graph,"The Graph is an indexing protocol for querying networks like Ethereum and IPFS. Anyone can build and publish open APIs, called subgraphs, making data easily accessible.",https://thegraph.typeform.com/applynow,,"June 10, 2022 1:46 PM","The Graph Grants focuses on funding protocol infrastructure, tooling, dapps and subgraphs, and community building efforts.",,The Graph,EVM,,Ongoing,"Community Building/Content Creation, Devs, Infrastructure, Public Goods, Researchers, Universal Tools",,https://www.notion.so/The-Graph-Foundation-e822e66d7b614fdd899a647f5db51a68
HBAR,"Hedera is a fully open-source public distributed ledger that utilizes the fast, fair, and secure hashgraph consensus. Its network services include Solidity-based smart contracts, as well as native tokenization and consensus services used to build decentralized applications.",https://www.hbarfoundation.org/apply,,"June 10, 2022 1:46 PM","Tokenization and DeFi Fund

Project Funding
Financing can be one of the most challenging barriers for entrepreneurs. Get your project fully funded with HBAR through a simple and fast grant process and bring your project to market quickly.

Operational Support
The HBAR Foundation makes available expert resources to accelerate the deployment of your project - from technical operations to marketing and business development.

Project Awareness
Let us help you build brand awareness and increase the adoption of your project by promoting it to the wider network of projects, enterprises, and innovators building on the Hedera network.

Green Technology
The Hedera network is dedicated to having a limited carbon footprint and has adopted environmental sustainability as a core value - officially committing to carbon-negative network operations.",,HBAR,"EVM, Javascript",,,"Academics, Community Building/Content Creation, Dapps, Devs, Events/Hackathons, Incubators/Accelerators, Infrastructure, Researchers, Universal Tools",,https://www.hbarfoundation.org/
Harmony,"Harmony is a layer-1 blockchain using sharding and Effective Proof of Stake to achieve scalability, security, and decentralization. The network was launched in 2019 and features trustless cross-chain bridges and four shards, which process transactions in parallel. Effective Proof of Stake encourages decentralization of validators, and sharding shares the network's load among validators, delegators, and users.",https://open.harmony.one/300m-on-bounties-grants-daos/apply-for-grants-or-dao,,"June 10, 2022 1:46 PM","Harmony is experimenting with radical incentives. We aim to onboard thousands of builders and creatives in the coming months. How do we capture everyone's initial enthusiasm while making progress despite coordination inertia?

Whether in startups or DAO – salary negotiations, performance reviews, and time commitments are easily the hardest things among humans. Can self-assessed base salary, public timesheets and deliverable reviews, dispute resolutions like quits and kicks, and retroactive peer bonuses help scale 1000s of development-focused DAOs?

Harmony offers the most generous pay to onboard anyone who is qualified and aligned with our mission. Our culture values productivity over activity – or, more importantly, values meanings of our work making impacts in people's lives rather than work hours. Builders in DAOs as the future of work prefer fluid commitment, exploring multiple opportunities and producing work upon the passion of the moment. ",,Harmony,EVM,,Ongoing,"Academics, Community Building/Content Creation, Dapps, Devs, Events/Hackathons, Infrastructure, NFTs, Researchers, Universal Tools",,https://open.harmony.one/minimum-pay-for-builders-creatives
Hyperscale,,https://discord.com/invite/7CGPQ8fWHt,,"June 10, 2022 1:46 PM","Hyperscale is a fund that deploys ultra-fast and universally accessible capital. Crypto-native projects fill out a 15-minute application and receive an investment within a week. Crypto-native projects are democratizing access to opportunity around the world. By making crypto-native investments, we will tap into human potential around the world.",,All,All,"< $5,000,000",Ongoing,"Academics, DAOs, Dapps, Devs, Infrastructure, Public Goods, Researchers, Universal Tools",,https://www.hyperscalefund.com/
Idle Grants Program,Idle is a decentralized rebalancing protocol that allows users to automatically and algorithmically manage their digital asset allocation among different third-party DeFi protocols. You can choose to maximize your interest rate returns through our MaxYield strategy or minimize your risk exposure through our RiskAdjusted allocation strategy.,https://docs.google.com/forms/d/e/1FAIpQLSeODAt32FqxdwU7K2v6nIsikqSylq42WflojmvQyaXaO8hT-A/viewform,,"June 10, 2022 1:46 PM","This program is an opportunity to contribute to the Idle ecosystem, shape the future of finance, and an opportunity to level up your technical and soft skills in DeFi, as part of a community of passionate contributors. ",,"Aave, Compound, DYDX, Ethereum, Polygon",EVM,,Ongoing,"Community Building/Content Creation, Devs, Infrastructure, Researchers",,https://idlelabs.notion.site/IGP-Idle-Grants-Program-a91d2937f24c4539a6538e48777fbfbd
Interchain Foundation,,https://apply.interchain.io/,,"June 10, 2022 1:46 PM","The Interchain Foundation provides grants, service agreements, full-time employment and investments.

Research
Advancing basic and applied research in cryptography, distributed systems, formal verification, and mechanism design.

Engineering & Product
Engineering turns research into software; product turns software into user-experiences. We are primarily interested in general-purpose technologies that expand the environment, capabilities, and security of the Cosmos ecosystem

Social Good & Community
We support communities to bring awareness to open-source, decentralized technologies. Sovereignty, security, and sustainability also means addressing fundamental social issues like human rights, education, food security, accessibility, open government, and environmental regeneration.",,"Cosmos, Ethereum, HBAR, Harmony, Polkadot/Kusama","Cosmoms/Tendermint, EVM, Substrate",,Ongoing,"Academics, Community Building/Content Creation, Devs, Events/Hackathons, Public Goods, Researchers, Universal Tools",,https://interchain.io/funding/
Kadena Eco Grants,"Kadena is a proprietary, multi-chain architecture with tools made for everyone. Never before has a blockchain technology offered such speed, scale, and energy efficiency — Kadena combines the functionality of blockchain tech with the accessibility of today’s internet, making it the perfect platform for builders to create their projects.",https://kadena.io/grants/,,"June 10, 2022 1:46 PM","Applicants must be willing to adopt Kadena’s “build in the open” philosophy by contributing content, tutorials and product explainers in relevant channels and communities such as Discord, Medium, Stackoverflow and others. In turn, Kadena Eco will commit to engineering mentorship, office hours and community leadership in addition to monetary support.

Beyond grant money, you’ll also get support from Francesco Melpignano, CEO of Kadena Eco, and the rest of the Kadena team to get you off the ground and building for success.",,Kadena,Pact,,Ongoing,"Academics, Community Building/Content Creation, Dapps, Incubators/Accelerators, Infrastructure, Researchers, Universal Tools",,https://kadena.io/eco/
Lido Ecosystem Grants Organization,"What is Lido?
Lido is a liquid staking solution for ETH 2.0 backed by industry-leading staking providers. Lido lets users stake their ETH - without locking assets or maintaining infrastructure - whilst participating in on-chain activities, e.g. lending. Lido attempts to solve the problems associated with initial ETH 2.0 staking - illiquidity, immovability, and accessibility - making staked ETH liquid and allowing for participation with any amount of ETH to improve the security of the Ethereum network.",https://lego.lido.fi/how-can-i-apply,,"June 10, 2022 1:46 PM","The mission of the Lido Ecosystem Grants Organization (LEGO) is to provide valuable resources to contributors who help to improve Lido and the surrounding staking ecosystem, whether through development efforts, content, events, ideas or anything else.

By rewarding talent early with developer incentives, bounties, and infrastructure support, LEGO acts as a catalyst for growth and helps to maintain Lido as a leading and most useful liquid staking protocol in the whole space.",,"Ethereum, Lido",EVM,,Ongoing,"Academics, Community Building/Content Creation, Devs, Events/Hackathons, Researchers",,https://lego.lido.fi/
Liverpeer,"Livepeer is a protocol for developers who want to add a live or on-demand video to their projects. It aims to increase the reliability of video streaming while reducing costs associated with it by up to 50x.

To achieve this Livepeer is building a p2p infrastructure that interacts through a marketplace secured by the Ethereum blockchain.",https://github.com/livepeer/Grant-Program,,"June 10, 2022 1:46 PM","Livepeer has a long-term vision to build a fully decentralized video stack, and we cannot achieve this goal without a community of contributors to the project. Livepeer Grants provide funding to projects, ideas, and events that benefit the Livepeer ecosystem. The grants program provides contributors with an opportunity to fund their projects and build a position in the Livepeer network. Livepeer Grants aims to distribute up to $250,000 in grants each quarter with semi-annual review phases.

We are seeking projects and will provide grants for:
• Core Protocol development
• Code Audits
• Applications
• Integrations
• Marketing and Community Initiatives

Requirements
• Projects must be open source
• We are open to funding projects built by teams or individuals, although it helps to have both product/UX + backend for the apps. Find people with complementary skill sets to join you and collaborate by joining https://discord.gg/cmpB7sH and posting in the #Find-Hackers channel.",,"Ethereum, Liverpeer",EVM,,Ongoing,"Community Building/Content Creation, Dapps, Devs, Events/Hackathons, Infrastructure, Universal Tools",,https://github.com/livepeer/Grant-Program
